著者名,出現回数
東野圭吾,24706
芥見下々,20695
日向夏,15862
尾田栄一郎,15753
古舘春一,15003
松本直也,14761
堀越耕平,13880
金城宗幸,13305
雨穴,12796
原泰久,12163
青山剛昌,11359
藤子・Ｆ・不二雄,11329
アベツカサ,10701
龍幸伸,10276
三浦糀,10037
にいさとる,9982
やなせたかし,9959
ノ村優介,9645
ゲッターズ飯田,8435
ナガノ,8287
甲本一,8265
九井諒子,7914
遠藤達哉,7733
山田鐘人,7265
藤本タツキ,7127
荒木飛呂彦,7119
辻村深月,6887
伏瀬,6742
知念実希人,6714
柴田ケイコ,6638
滝澤ななみ,6555
赤坂アカ,6513
佐伯泰英,6369
西修,6105
あいだいろ,5970
宮部みゆき,5948
堂場瞬一,5795
鈴木祐斗,5768
冨樫義博,5745
ねこクラゲ,5622
鳥山明,5529
野田サトル,5526
松井優征,5483
吾峠呼世晴,5268
権平ひつじ,5225
中山七里,5128
荒川弘,5051
小林有吾,5028
今野敏,4940
宮島未奈,4882
旺文社,4777
原田マハ,4554
燦々ＳＵＮ,4526
鈴木のりたけ,4420
池井戸潤,4345
汐見夏衛,4327
和田秀樹,4325
桜井のりお,4278
井上雄彦,4251
みかわ絵子,4220
米澤穂信,4039
高島易断所本部,3997
外薗健,3963
横槍メンゴ,3930
衣笠彰梧,3733
森永卓郎,3695
地球の歩き方編集室,3620
阿賀沢紅茶,3620
三香見サカ,3609
ヨシタケシンスケ,3607
ＴＥＸ加藤,3541
魚豊,3514
伊坂幸太郎,3508
上田秀人,3456
ミユキ蜜蜂,3435
関正生,3370
Ｃｙｇａｍｅｓ,3330
柚月裕子,3320
朝霧カフカ,3320
町田そのこ,3319
ＯＮＥ,3316
和山やま,3310
池上彰,3275
今村翔吾,3267
和久井健,3267
ＤＵＢＵ,3253
石塚真一,3246
司馬遼太郎,3181
硬梨菜,3160
高瀬美恵,3158
シン・テフン,3151
阿部智里,3134
村上春樹,3056
川上泰樹,3043
大沢在昌,2928
モクモクれん,2926
凪良ゆう,2885
矢部一夫,2849
朝井リョウ,2838
高田郁,2834
福田晋一,2831
原田ひ香,2831
オダトモヒト,2765
陰山英男,2759
道尾秀介,2754
葦原大介,2743
浅田次郎,2734
田村由美,2724
鈴木央,2716
青山美智子,2715
津田沼篤,2715
アンソロジー,2704
綾辻行人,2702
千葉侑生,2695
赤川次郎,2680
トロル,2666
ゴムドリｃｏ．,2663
湊かなえ,2653
今泉忠明,2607
井原忠政,2577
佐藤愛子,2576
川島隆太,2572
齋藤孝,2570
梅村真也,2568
細木かおり,2541
コトヤマ,2541
はまじあき,2500
春場ねぎ,2488
南勝久,2465
安藤広大,2453
彬子女王,2452
瀬尾まいこ,2435
しげの秀一,2421
清水茜,2404
池波正太郎,2395
顎木あくみ,2389
かがくいひろし,2383
背筋,2375
村田真優,2367
諫山創,2362
益田ミリ,2360
Ｂｏｉｃｈｉ,2343
あいら,2335
早見和真,2322
平井大橋,2319
森下ｓｕｕ,2306
山本崇一朗,2305
ましろ,2298
劉慈欣,2287
石田スイ,2275
小川糸,2270
地主,2253
坂岡真,2251
あさのあつこ,2237
中野信子,2229
山口つばさ,2204
佐賀崎しげる,2192
枢やな,2135
浅倉秋成,2117
岸本斉史,2114
阿辻哲次,2113
染井為人,2112
工藤ノリコ,2111
上橋菜穂子,2110
雷句誠,2090
真鍋昌平,2082
かしわらあきお,2078
黒崎みのり,2075
松岡圭祐,2075
教学社編集部,2070
ひのひまり,2035
恩田陸,2017
辻堂魁,2013
西村京太郎,2001
瀧靖之,1984
小学教育研究会,1954
石ノ森章太郎,1941
誉田哲也,1939
安達裕哉,1927
西條奈加,1926
Ｇａｋｋｅｎ,1912
渡辺航,1903
進行諸島,1900
橘オレコ,1892
宮島礼吏,1888
ひのでや参吉,1885
大森藤ノ,1879
萬屋不死身之介,1877
養老孟司,1875
桃戸ハル,1866
太宰治,1865
友麻碧,1854
やまもり三香,1854
北方謙三,1853
三浦しをん,1845
末永裕樹,1845
川崎芳織,1837
Ｄ．キイス,1810
石井ゆかり,1804
健部伸明,1801
篠原菊紀,1794
伊勢谷武,1785
夏目漱石,1782
百田尚樹,1780
アンギャマン,1767
大石静,1744
冬野夜空,1735
實吉達郎,1730
佐島勤,1728
講談社,1726
佐々木倫子,1723
篠原健太,1723
小野不由美,1722
日本漢字能力検定協会,1714
あｆろ,1712
永松茂久,1710
ガブリエル・ガルシア,1691
桑原晃弥,1687
よしながふみ,1686
田中芳樹,1686
ＭＥＧＵＭＩ,1673
有吉佐和子,1658
佐伯さん,1658
角田光代,1656
山田暢彦,1655
キヨノサチコ,1655
岡本隆司,1650
三宅香帆,1646
小杉拓也,1641
クレハ,1636
不二涼介,1635
香月美夜,1621
畠山健二,1620
市川春子,1612
伊集院静,1609
雨森たきび,1606
長月達平,1605
卯月ココ,1605
新庄耕,1604
サンドロビッチ・ヤバ,1600
廣嶋玲子,1599
ＣＬＡＭＰ,1599
